,sceneDateString,platform,dt,nFrames
0,2014-10-23,Sentinel-1A,0,1
1,2014-11-04,Sentinel-1A,12,3
2,2014-11-16,Sentinel-1A,12,1
3,2014-11-28,Sentinel-1A,12,3
4,2014-12-10,Sentinel-1A,12,1
5,2014-12-22,Sentinel-1A,12,3
6,2015-01-03,Sentinel-1A,12,1
7,2015-01-15,Sentinel-1A,12,3
8,2015-01-27,Sentinel-1A,12,1
9,2015-02-08,Sentinel-1A,12,3
10,2015-03-04,Sentinel-1A,24,1
11,2015-03-16,Sentinel-1A,12,3
12,2015-03-28,Sentinel-1A,12,1
13,2015-04-09,Sentinel-1A,12,2
14,2015-05-03,Sentinel-1A,24,2
15,2015-05-15,Sentinel-1A,12,1
16,2015-05-27,Sentinel-1A,12,2
17,2015-06-08,Sentinel-1A,12,1
18,2015-06-20,Sentinel-1A,12,2
19,2015-07-02,Sentinel-1A,12,1
20,2015-07-14,Sentinel-1A,12,2
21,2015-07-26,Sentinel-1A,12,1
22,2015-08-07,Sentinel-1A,12,2
23,2015-08-19,Sentinel-1A,12,1
24,2015-08-31,Sentinel-1A,12,2
25,2015-09-12,Sentinel-1A,12,1
26,2015-09-24,Sentinel-1A,12,2
27,2015-10-06,Sentinel-1A,12,1
28,2015-10-18,Sentinel-1A,12,2
29,2015-10-30,Sentinel-1A,12,1
30,2015-11-11,Sentinel-1A,12,2
31,2015-11-23,Sentinel-1A,12,2
32,2015-12-05,Sentinel-1A,12,2
33,2015-12-29,Sentinel-1A,24,2
34,2016-01-10,Sentinel-1A,12,2
35,2016-01-22,Sentinel-1A,12,2
36,2016-02-27,Sentinel-1A,36,2
37,2016-03-10,Sentinel-1A,12,2
38,2016-04-03,Sentinel-1A,24,2
39,2016-04-15,Sentinel-1A,12,2
40,2016-04-27,Sentinel-1A,12,2
41,2016-05-09,Sentinel-1A,12,2
42,2016-05-21,Sentinel-1A,12,2
43,2016-06-02,Sentinel-1A,12,1
44,2016-07-08,Sentinel-1A,36,2
45,2016-08-01,Sentinel-1A,24,2
46,2016-08-13,Sentinel-1A,12,1
47,2016-08-25,Sentinel-1A,12,2
48,2016-09-06,Sentinel-1A,12,1
49,2016-09-18,Sentinel-1A,12,2
50,2016-09-30,Sentinel-1A,12,1
51,2016-10-06,Sentinel-1B,6,1
52,2016-10-12,Sentinel-1A,6,2
53,2016-10-30,Sentinel-1B,18,1
54,2016-11-05,Sentinel-1A,6,2
55,2016-11-23,Sentinel-1B,18,1
56,2016-11-29,Sentinel-1A,6,2
57,2016-12-11,Sentinel-1A,12,2
58,2016-12-17,Sentinel-1B,6,1
59,2016-12-23,Sentinel-1A,6,2
60,2017-01-10,Sentinel-1B,18,1
61,2017-01-16,Sentinel-1A,6,2
62,2017-02-03,Sentinel-1B,18,1
63,2017-02-21,Sentinel-1A,18,1
64,2017-02-27,Sentinel-1B,6,3
65,2017-03-05,Sentinel-1A,6,1
66,2017-03-11,Sentinel-1B,6,3
67,2017-03-17,Sentinel-1A,6,1
68,2017-03-29,Sentinel-1A,12,1
69,2017-04-10,Sentinel-1A,12,1
70,2017-04-22,Sentinel-1A,12,1
71,2017-05-04,Sentinel-1A,12,1
72,2017-05-16,Sentinel-1A,12,1
73,2017-05-28,Sentinel-1A,12,1
74,2017-06-09,Sentinel-1A,12,1
75,2017-06-21,Sentinel-1A,12,1
76,2017-07-03,Sentinel-1A,12,1
77,2017-07-15,Sentinel-1A,12,1
78,2017-07-27,Sentinel-1A,12,1
79,2017-08-08,Sentinel-1A,12,1
80,2017-08-20,Sentinel-1A,12,1
81,2017-09-01,Sentinel-1A,12,1
82,2017-09-13,Sentinel-1A,12,1
83,2017-09-25,Sentinel-1A,12,1
84,2017-10-07,Sentinel-1A,12,1
