,sceneDateString,platform,dt,nFrames
0,2014-10-19,Sentinel-1A,0,3
1,2014-10-31,Sentinel-1A,12,1
2,2014-11-12,Sentinel-1A,12,3
3,2014-11-24,Sentinel-1A,12,1
4,2014-12-06,Sentinel-1A,12,3
5,2014-12-18,Sentinel-1A,12,1
6,2014-12-30,Sentinel-1A,12,3
7,2015-01-11,Sentinel-1A,12,1
8,2015-01-23,Sentinel-1A,12,3
9,2015-02-04,Sentinel-1A,12,1
10,2015-02-16,Sentinel-1A,12,3
11,2015-02-28,Sentinel-1A,12,3
12,2015-03-12,Sentinel-1A,12,1
13,2015-03-24,Sentinel-1A,12,3
14,2015-04-05,Sentinel-1A,12,1
15,2015-04-17,Sentinel-1A,12,3
16,2015-04-29,Sentinel-1A,12,1
17,2015-05-11,Sentinel-1A,12,3
18,2015-05-23,Sentinel-1A,12,1
19,2015-06-04,Sentinel-1A,12,3
20,2015-06-16,Sentinel-1A,12,1
21,2015-06-28,Sentinel-1A,12,3
22,2015-07-10,Sentinel-1A,12,1
23,2015-07-22,Sentinel-1A,12,3
24,2015-08-15,Sentinel-1A,24,3
25,2015-08-27,Sentinel-1A,12,1
26,2015-09-08,Sentinel-1A,12,3
27,2015-09-20,Sentinel-1A,12,1
28,2015-10-02,Sentinel-1A,12,3
29,2015-10-14,Sentinel-1A,12,1
30,2015-10-26,Sentinel-1A,12,3
31,2015-11-07,Sentinel-1A,12,1
32,2015-11-19,Sentinel-1A,12,3
33,2015-12-01,Sentinel-1A,12,1
34,2015-12-13,Sentinel-1A,12,3
35,2015-12-25,Sentinel-1A,12,1
36,2016-01-06,Sentinel-1A,12,3
37,2016-01-18,Sentinel-1A,12,1
38,2016-01-30,Sentinel-1A,12,3
39,2016-02-11,Sentinel-1A,12,1
40,2016-02-23,Sentinel-1A,12,3
41,2016-03-06,Sentinel-1A,12,1
42,2016-03-18,Sentinel-1A,12,3
43,2016-03-30,Sentinel-1A,12,1
44,2016-04-11,Sentinel-1A,12,3
45,2016-04-23,Sentinel-1A,12,1
46,2016-05-05,Sentinel-1A,12,3
47,2016-05-17,Sentinel-1A,12,1
48,2016-05-29,Sentinel-1A,12,3
49,2016-06-10,Sentinel-1A,12,1
50,2016-07-04,Sentinel-1A,24,3
51,2016-07-16,Sentinel-1A,12,3
52,2016-07-28,Sentinel-1A,12,1
53,2016-08-09,Sentinel-1A,12,3
54,2016-08-21,Sentinel-1A,12,1
55,2016-09-02,Sentinel-1A,12,3
56,2016-09-14,Sentinel-1A,12,1
57,2016-09-26,Sentinel-1A,12,3
58,2016-10-14,Sentinel-1B,18,1
59,2016-10-20,Sentinel-1A,6,3
60,2016-10-26,Sentinel-1B,6,1
61,2016-11-07,Sentinel-1B,12,1
62,2016-11-13,Sentinel-1A,6,3
63,2016-11-19,Sentinel-1B,6,1
64,2016-12-01,Sentinel-1B,12,1
65,2016-12-07,Sentinel-1A,6,3
66,2016-12-13,Sentinel-1B,6,1
67,2016-12-25,Sentinel-1B,12,1
68,2016-12-31,Sentinel-1A,6,3
69,2017-01-06,Sentinel-1B,6,1
70,2017-01-18,Sentinel-1B,12,1
71,2017-01-24,Sentinel-1A,6,3
72,2017-01-30,Sentinel-1B,6,1
73,2017-02-05,Sentinel-1A,6,3
74,2017-02-11,Sentinel-1B,6,1
75,2017-02-17,Sentinel-1A,6,3
76,2017-02-23,Sentinel-1B,6,1
77,2017-03-01,Sentinel-1A,6,3
78,2017-03-07,Sentinel-1B,6,1
79,2017-03-13,Sentinel-1A,6,3
80,2017-03-19,Sentinel-1B,6,1
81,2017-03-25,Sentinel-1A,6,3
82,2017-03-31,Sentinel-1B,6,1
83,2017-04-06,Sentinel-1A,6,3
84,2017-04-12,Sentinel-1B,6,1
85,2017-04-18,Sentinel-1A,6,3
86,2017-04-24,Sentinel-1B,6,1
87,2017-04-30,Sentinel-1A,6,3
88,2017-05-06,Sentinel-1B,6,1
89,2017-05-12,Sentinel-1A,6,3
90,2017-05-18,Sentinel-1B,6,1
91,2017-05-24,Sentinel-1A,6,3
92,2017-05-30,Sentinel-1B,6,1
93,2017-06-05,Sentinel-1A,6,3
94,2017-06-11,Sentinel-1B,6,1
95,2017-06-17,Sentinel-1A,6,3
96,2017-06-23,Sentinel-1B,6,1
97,2017-06-29,Sentinel-1A,6,3
98,2017-07-05,Sentinel-1B,6,1
99,2017-07-11,Sentinel-1A,6,3
100,2017-07-17,Sentinel-1B,6,1
101,2017-07-23,Sentinel-1A,6,3
102,2017-07-29,Sentinel-1B,6,1
103,2017-08-04,Sentinel-1A,6,3
104,2017-08-10,Sentinel-1B,6,1
105,2017-08-16,Sentinel-1A,6,3
106,2017-08-22,Sentinel-1B,6,1
107,2017-08-28,Sentinel-1A,6,3
108,2017-09-03,Sentinel-1B,6,1
109,2017-09-09,Sentinel-1A,6,3
110,2017-09-15,Sentinel-1B,6,1
111,2017-09-21,Sentinel-1A,6,3
112,2017-09-27,Sentinel-1B,6,1
113,2017-10-03,Sentinel-1A,6,3
114,2017-10-09,Sentinel-1B,6,1
115,2017-10-15,Sentinel-1A,6,3
