Orbit,Start,Stop,Dates,Frames,Direction,UTC
79,2014-10-23,2017-10-07,85,133,DESCENDING,03:14:56
50,2014-10-09,2017-10-05,65,95,DESCENDING,03:30:33
28,2014-10-19,2017-10-15,116,232,ASCENDING,16:01:43
174,2014-10-29,2017-10-13,88,206,ASCENDING,16:18:03
152,2014-10-16,2017-10-12,72,161,DESCENDING,03:22:51
101,2014-10-12,2017-10-14,115,311,ASCENDING,16:10:00
