,sceneDateString,platform,dt,nFrames
0,2014-10-29,Sentinel-1A,0,3
1,2014-11-22,Sentinel-1A,24,3
2,2014-12-16,Sentinel-1A,24,3
3,2014-12-28,Sentinel-1A,12,1
4,2015-01-09,Sentinel-1A,12,3
5,2015-02-02,Sentinel-1A,24,3
6,2015-02-26,Sentinel-1A,24,3
7,2015-03-22,Sentinel-1A,24,3
8,2015-04-15,Sentinel-1A,24,3
9,2015-04-27,Sentinel-1A,12,3
10,2015-05-09,Sentinel-1A,12,3
11,2015-06-02,Sentinel-1A,24,3
12,2015-07-20,Sentinel-1A,48,3
13,2015-08-13,Sentinel-1A,24,3
14,2015-09-06,Sentinel-1A,24,3
15,2015-09-30,Sentinel-1A,24,3
16,2015-10-24,Sentinel-1A,24,3
17,2015-11-17,Sentinel-1A,24,3
18,2015-12-11,Sentinel-1A,24,3
19,2015-12-23,Sentinel-1A,12,1
20,2016-01-04,Sentinel-1A,12,3
21,2016-01-28,Sentinel-1A,24,3
22,2016-02-21,Sentinel-1A,24,3
23,2016-03-16,Sentinel-1A,24,3
24,2016-04-09,Sentinel-1A,24,3
25,2016-05-03,Sentinel-1A,24,3
26,2016-05-27,Sentinel-1A,24,3
27,2016-07-02,Sentinel-1A,36,1
28,2016-07-14,Sentinel-1A,12,3
29,2016-08-07,Sentinel-1A,24,3
30,2016-08-31,Sentinel-1A,24,3
31,2016-09-24,Sentinel-1A,24,3
32,2016-10-06,Sentinel-1A,12,1
33,2016-10-24,Sentinel-1B,18,3
34,2016-10-30,Sentinel-1A,6,1
35,2016-11-05,Sentinel-1B,6,3
36,2016-11-17,Sentinel-1B,12,3
37,2016-11-23,Sentinel-1A,6,1
38,2016-11-29,Sentinel-1B,6,3
39,2016-12-11,Sentinel-1B,12,3
40,2016-12-17,Sentinel-1A,6,1
41,2016-12-23,Sentinel-1B,6,3
42,2017-01-04,Sentinel-1B,12,3
43,2017-01-10,Sentinel-1A,6,1
44,2017-01-16,Sentinel-1B,6,3
45,2017-01-28,Sentinel-1B,12,3
46,2017-02-03,Sentinel-1A,6,1
47,2017-02-09,Sentinel-1B,6,3
48,2017-02-15,Sentinel-1A,6,1
49,2017-02-21,Sentinel-1B,6,3
50,2017-02-27,Sentinel-1A,6,1
51,2017-03-05,Sentinel-1B,6,3
52,2017-03-11,Sentinel-1A,6,1
53,2017-03-17,Sentinel-1B,6,3
54,2017-03-23,Sentinel-1A,6,1
55,2017-03-29,Sentinel-1B,6,3
56,2017-04-04,Sentinel-1A,6,1
57,2017-04-10,Sentinel-1B,6,3
58,2017-04-16,Sentinel-1A,6,1
59,2017-04-22,Sentinel-1B,6,3
60,2017-04-28,Sentinel-1A,6,1
61,2017-05-04,Sentinel-1B,6,3
62,2017-05-10,Sentinel-1A,6,1
63,2017-05-16,Sentinel-1B,6,3
64,2017-05-22,Sentinel-1A,6,1
65,2017-05-28,Sentinel-1B,6,3
66,2017-06-03,Sentinel-1A,6,1
67,2017-06-09,Sentinel-1B,6,3
68,2017-06-15,Sentinel-1A,6,1
69,2017-06-21,Sentinel-1B,6,3
70,2017-06-27,Sentinel-1A,6,1
71,2017-07-03,Sentinel-1B,6,3
72,2017-07-09,Sentinel-1A,6,1
73,2017-07-15,Sentinel-1B,6,3
74,2017-07-21,Sentinel-1A,6,1
75,2017-07-27,Sentinel-1B,6,3
76,2017-08-02,Sentinel-1A,6,1
77,2017-08-08,Sentinel-1B,6,3
78,2017-08-14,Sentinel-1A,6,1
79,2017-08-20,Sentinel-1B,6,3
80,2017-08-26,Sentinel-1A,6,1
81,2017-09-01,Sentinel-1B,6,3
82,2017-09-07,Sentinel-1A,6,1
83,2017-09-13,Sentinel-1B,6,3
84,2017-09-19,Sentinel-1A,6,1
85,2017-09-25,Sentinel-1B,6,3
86,2017-10-07,Sentinel-1B,12,3
87,2017-10-13,Sentinel-1A,6,1
