,sceneDateString,platform,dt,nFrames
0,2014-10-16,Sentinel-1A,0,2
1,2014-10-28,Sentinel-1A,12,3
2,2014-11-09,Sentinel-1A,12,2
3,2014-11-21,Sentinel-1A,12,3
4,2014-12-03,Sentinel-1A,12,2
5,2014-12-15,Sentinel-1A,12,3
6,2014-12-27,Sentinel-1A,12,2
7,2015-01-08,Sentinel-1A,12,2
8,2015-01-20,Sentinel-1A,12,2
9,2015-02-01,Sentinel-1A,12,2
10,2015-02-13,Sentinel-1A,12,2
11,2015-02-25,Sentinel-1A,12,3
12,2015-03-09,Sentinel-1A,12,2
13,2015-03-21,Sentinel-1A,12,3
14,2015-04-02,Sentinel-1A,12,2
15,2015-04-14,Sentinel-1A,12,3
16,2015-05-08,Sentinel-1A,24,3
17,2015-05-20,Sentinel-1A,12,2
18,2015-06-01,Sentinel-1A,12,3
19,2015-06-13,Sentinel-1A,12,2
20,2015-06-25,Sentinel-1A,12,3
21,2015-07-19,Sentinel-1A,24,2
22,2015-09-17,Sentinel-1A,60,2
23,2015-11-04,Sentinel-1A,48,2
24,2015-11-16,Sentinel-1A,12,2
25,2016-01-03,Sentinel-1A,48,2
26,2016-01-15,Sentinel-1A,12,2
27,2016-03-15,Sentinel-1A,60,2
28,2016-04-08,Sentinel-1A,24,2
29,2016-04-20,Sentinel-1A,12,2
30,2016-05-02,Sentinel-1A,12,2
31,2016-05-14,Sentinel-1A,12,2
32,2016-05-26,Sentinel-1A,12,3
33,2016-06-07,Sentinel-1A,12,2
34,2016-07-01,Sentinel-1A,24,2
35,2016-07-13,Sentinel-1A,12,2
36,2016-07-25,Sentinel-1A,12,2
37,2016-08-06,Sentinel-1A,12,3
38,2016-08-18,Sentinel-1A,12,2
39,2016-08-30,Sentinel-1A,12,3
40,2016-09-11,Sentinel-1A,12,2
41,2016-09-23,Sentinel-1A,12,3
42,2016-09-29,Sentinel-1B,6,2
43,2016-10-11,Sentinel-1B,12,2
44,2016-10-17,Sentinel-1A,6,3
45,2016-11-04,Sentinel-1B,18,2
46,2016-11-10,Sentinel-1A,6,3
47,2016-11-28,Sentinel-1B,18,2
48,2016-12-04,Sentinel-1A,6,3
49,2016-12-22,Sentinel-1B,18,2
50,2016-12-28,Sentinel-1A,6,3
51,2017-01-15,Sentinel-1B,18,2
52,2017-02-08,Sentinel-1B,24,2
53,2017-02-14,Sentinel-1A,6,2
54,2017-02-26,Sentinel-1A,12,2
55,2017-03-10,Sentinel-1A,12,2
56,2017-03-22,Sentinel-1A,12,2
57,2017-04-03,Sentinel-1A,12,2
58,2017-04-15,Sentinel-1A,12,2
59,2017-05-09,Sentinel-1A,24,2
60,2017-05-21,Sentinel-1A,12,2
61,2017-06-02,Sentinel-1A,12,2
62,2017-06-14,Sentinel-1A,12,2
63,2017-06-26,Sentinel-1A,12,2
64,2017-07-08,Sentinel-1A,12,2
65,2017-07-20,Sentinel-1A,12,2
66,2017-08-01,Sentinel-1A,12,2
67,2017-08-13,Sentinel-1A,12,2
68,2017-08-25,Sentinel-1A,12,2
69,2017-09-06,Sentinel-1A,12,2
70,2017-09-30,Sentinel-1A,24,2
71,2017-10-12,Sentinel-1A,12,2
