,sceneDateString,platform,dt,nFrames
0,2014-10-09,Sentinel-1A,0,1
1,2014-10-21,Sentinel-1A,12,1
2,2014-11-14,Sentinel-1A,24,1
3,2014-11-26,Sentinel-1A,12,1
4,2014-12-08,Sentinel-1A,12,1
5,2014-12-20,Sentinel-1A,12,1
6,2015-01-01,Sentinel-1A,12,1
7,2015-01-13,Sentinel-1A,12,1
8,2015-01-25,Sentinel-1A,12,1
9,2015-02-06,Sentinel-1A,12,1
10,2015-02-18,Sentinel-1A,12,1
11,2015-03-02,Sentinel-1A,12,1
12,2015-03-14,Sentinel-1A,12,1
13,2015-03-26,Sentinel-1A,12,1
14,2015-04-07,Sentinel-1A,12,1
15,2015-05-01,Sentinel-1A,24,1
16,2015-05-13,Sentinel-1A,12,1
17,2015-06-06,Sentinel-1A,24,1
18,2015-06-30,Sentinel-1A,24,1
19,2015-07-12,Sentinel-1A,12,1
20,2015-08-29,Sentinel-1A,48,1
21,2015-10-16,Sentinel-1A,48,1
22,2015-11-09,Sentinel-1A,24,1
23,2015-11-21,Sentinel-1A,12,2
24,2015-12-27,Sentinel-1A,36,1
25,2016-01-08,Sentinel-1A,12,2
26,2016-02-13,Sentinel-1A,36,1
27,2016-03-08,Sentinel-1A,24,1
28,2016-04-01,Sentinel-1A,24,1
29,2016-04-13,Sentinel-1A,12,2
30,2016-04-25,Sentinel-1A,12,1
31,2016-05-19,Sentinel-1A,24,1
32,2016-05-31,Sentinel-1A,12,2
33,2016-07-06,Sentinel-1A,36,1
34,2016-07-18,Sentinel-1A,12,2
35,2016-07-30,Sentinel-1A,12,1
36,2016-08-11,Sentinel-1A,12,2
37,2016-08-23,Sentinel-1A,12,1
38,2016-09-04,Sentinel-1A,12,2
39,2016-09-16,Sentinel-1A,12,1
40,2016-09-28,Sentinel-1A,12,1
41,2016-10-04,Sentinel-1B,6,2
42,2016-10-28,Sentinel-1B,24,2
43,2016-11-21,Sentinel-1B,24,2
44,2016-12-15,Sentinel-1B,24,2
45,2017-01-08,Sentinel-1B,24,2
46,2017-01-14,Sentinel-1A,6,1
47,2017-02-01,Sentinel-1B,18,2
48,2017-02-19,Sentinel-1A,18,2
49,2017-03-03,Sentinel-1A,12,2
50,2017-03-15,Sentinel-1A,12,2
51,2017-03-27,Sentinel-1A,12,2
52,2017-04-08,Sentinel-1A,12,2
53,2017-05-14,Sentinel-1A,36,2
54,2017-05-26,Sentinel-1A,12,2
55,2017-06-19,Sentinel-1A,24,2
56,2017-07-01,Sentinel-1A,12,2
57,2017-07-13,Sentinel-1A,12,2
58,2017-07-25,Sentinel-1A,12,2
59,2017-08-06,Sentinel-1A,12,2
60,2017-08-18,Sentinel-1A,12,2
61,2017-08-30,Sentinel-1A,12,2
62,2017-09-11,Sentinel-1A,12,2
63,2017-09-23,Sentinel-1A,12,2
64,2017-10-05,Sentinel-1A,12,2
